seed-corpus soak start 2026-06-16T17:15:09Z dur=28800s img=0.16.0 shape=certificate seeds=2 injector=none
20:22:06 iter=187 chain_txs=0 served=313 cert_tagged=158 cert_real=158 relay2_crit=0 relay2_restart=0 adv_restart=0
20:23:06 iter=188 chain_txs=0 served=315 cert_tagged=159 cert_real=159 relay2_crit=0 relay2_restart=0 adv_restart=0
20:24:06 iter=189 chain_txs=0 served=317 cert_tagged=160 cert_real=160 relay2_crit=0 relay2_restart=0 adv_restart=0
20:25:06 iter=190 chain_txs=0 served=319 cert_tagged=161 cert_real=161 relay2_crit=0 relay2_restart=0 adv_restart=0
20:26:07 iter=191 chain_txs=0 served=321 cert_tagged=162 cert_real=162 relay2_crit=0 relay2_restart=0 adv_restart=0
20:27:07 iter=192 chain_txs=0 served=323 cert_tagged=163 cert_real=163 relay2_crit=0 relay2_restart=0 adv_restart=0
20:28:07 iter=193 chain_txs=0 served=325 cert_tagged=164 cert_real=164 relay2_crit=0 relay2_restart=0 adv_restart=0
20:29:08 iter=194 chain_txs=0 served=325 cert_tagged=164 cert_real=164 relay2_crit=0 relay2_restart=0 adv_restart=0
20:30:08 iter=195 chain_txs=0 served=327 cert_tagged=165 cert_real=165 relay2_crit=0 relay2_restart=0 adv_restart=0
20:31:08 iter=196 chain_txs=0 served=329 cert_tagged=166 cert_real=166 relay2_crit=0 relay2_restart=0 adv_restart=0
20:32:09 iter=197 chain_txs=0 served=331 cert_tagged=167 cert_real=167 relay2_crit=0 relay2_restart=0 adv_restart=0
20:33:09 iter=198 chain_txs=0 served=333 cert_tagged=168 cert_real=168 relay2_crit=0 relay2_restart=0 adv_restart=0
20:34:09 iter=199 chain_txs=0 served=335 cert_tagged=169 cert_real=169 relay2_crit=0 relay2_restart=0 adv_restart=0
20:35:10 iter=200 chain_txs=0 served=335 cert_tagged=169 cert_real=169 relay2_crit=0 relay2_restart=0 adv_restart=0
20:36:10 iter=201 chain_txs=0 served=337 cert_tagged=170 cert_real=170 relay2_crit=0 relay2_restart=0 adv_restart=0
20:37:10 iter=202 chain_txs=0 served=339 cert_tagged=171 cert_real=171 relay2_crit=0 relay2_restart=0 adv_restart=0
20:38:10 iter=203 chain_txs=0 served=341 cert_tagged=172 cert_real=172 relay2_crit=0 relay2_restart=0 adv_restart=0
20:39:11 iter=204 chain_txs=0 served=343 cert_tagged=173 cert_real=173 relay2_crit=0 relay2_restart=0 adv_restart=0
20:40:11 iter=205 chain_txs=0 served=345 cert_tagged=174 cert_real=174 relay2_crit=0 relay2_restart=0 adv_restart=0
20:41:11 iter=206 chain_txs=0 served=345 cert_tagged=174 cert_real=174 relay2_crit=0 relay2_restart=0 adv_restart=0
20:42:12 iter=207 chain_txs=0 served=347 cert_tagged=175 cert_real=175 relay2_crit=0 relay2_restart=0 adv_restart=0
20:43:12 iter=208 chain_txs=0 served=349 cert_tagged=176 cert_real=176 relay2_crit=0 relay2_restart=0 adv_restart=0
20:44:12 iter=209 chain_txs=0 served=351 cert_tagged=177 cert_real=177 relay2_crit=0 relay2_restart=0 adv_restart=0
20:45:13 iter=210 chain_txs=0 served=353 cert_tagged=178 cert_real=178 relay2_crit=0 relay2_restart=0 adv_restart=0
20:46:13 iter=211 chain_txs=0 served=355 cert_tagged=179 cert_real=179 relay2_crit=0 relay2_restart=0 adv_restart=0
