top.maxKESEvolutions.one	ACCEPT	124	3.02	not-rejected(3s)
top.maxKESEvolutions.sci	ACCEPT	124	3.02	not-rejected(3s)
top.maxKESEvolutions.str	REJECT	1	0.02	InstantiationError
top.maxKESEvolutions.tiny	REJECT	1	0.02	InstantiationError
top.maxKESEvolutions.zero	ACCEPT	124	3.02	not-rejected(3s)
top.maxLovelaceSupply.big63	ACCEPT	124	3.03	not-rejected(3s)
top.maxLovelaceSupply.big64	REJECT	1	0.02	InstantiationError
top.maxLovelaceSupply.bool	REJECT	1	0.02	InstantiationError
top.maxLovelaceSupply.emptystr	REJECT	1	0.02	InstantiationError
top.maxLovelaceSupply.float	REJECT	1	0.02	InstantiationError
top.maxLovelaceSupply.half	REJECT	1	0.02	InstantiationError
top.maxLovelaceSupply.huge	REJECT	1	0.02	InstantiationError
top.maxLovelaceSupply.missing	REJECT	1	0.02	InstantiationError
top.maxLovelaceSupply.neg1	REJECT	1	0.02	InstantiationError
top.maxLovelaceSupply.negf	REJECT	1	0.02	InstantiationError
top.maxLovelaceSupply.null	REJECT	1	0.02	InstantiationError
top.maxLovelaceSupply.one	ACCEPT	124	3.02	not-rejected(3s)
top.maxLovelaceSupply.sci	ACCEPT	124	3.02	not-rejected(3s)
top.maxLovelaceSupply.str	REJECT	1	0.02	InstantiationError
top.maxLovelaceSupply.tiny	REJECT	1	0.02	InstantiationError
top.maxLovelaceSupply.zero	ACCEPT	124	3.02	not-rejected(3s)
top.networkMagic.big63	REJECT	1	0.02	InstantiationError
top.networkMagic.big64	REJECT	1	0.02	InstantiationError
top.networkMagic.bool	REJECT	1	0.02	InstantiationError
top.networkMagic.emptystr	REJECT	1	0.02	InstantiationError
top.networkMagic.float	REJECT	1	0.02	InstantiationError
top.networkMagic.half	REJECT	1	0.02	InstantiationError
top.networkMagic.huge	REJECT	1	0.02	InstantiationError
top.networkMagic.missing	REJECT	1	0.02	InstantiationError
top.networkMagic.neg1	REJECT	1	0.02	InstantiationError
top.networkMagic.negf	REJECT	1	0.02	InstantiationError
top.networkMagic.null	REJECT	1	0.02	InstantiationError
top.networkMagic.one	ACCEPT	124	3.02	not-rejected(3s)
top.networkMagic.sci	REJECT	1	0.02	InstantiationError
top.networkMagic.str	REJECT	1	0.02	InstantiationError
top.networkMagic.tiny	REJECT	1	0.02	InstantiationError
top.networkMagic.zero	ACCEPT	124	3.02	not-rejected(3s)
top.protocolParams.big63	REJECT	1	0.02	InstantiationError
top.protocolParams.big64	REJECT	1	0.02	InstantiationError
top.protocolParams.bool	REJECT	1	0.02	InstantiationError
top.protocolParams.emptystr	REJECT	1	0.02	InstantiationError
top.protocolParams.float	REJECT	1	0.02	InstantiationError
top.protocolParams.half	REJECT	1	0.02	InstantiationError
top.protocolParams.huge	REJECT	1	0.02	InstantiationError
top.protocolParams.missing	REJECT	1	0.02	InstantiationError
top.protocolParams.neg1	REJECT	1	0.02	InstantiationError
top.protocolParams.negf	REJECT	1	0.02	InstantiationError
top.protocolParams.null	REJECT	1	0.02	InstantiationError
top.protocolParams.one	REJECT	1	0.02	InstantiationError
top.protocolParams.sci	REJECT	1	0.02	InstantiationError
top.protocolParams.str	REJECT	1	0.02	InstantiationError
top.protocolParams.tiny	REJECT	1	0.02	InstantiationError
top.protocolParams.zero	REJECT	1	0.02	InstantiationError
top.securityParam.big63	ACCEPT	124	3.02	not-rejected(3s)
top.securityParam.big64	REJECT	1	0.02	InstantiationError
top.securityParam.bool	REJECT	1	0.02	InstantiationError
top.securityParam.emptystr	REJECT	1	0.02	InstantiationError
top.securityParam.float	REJECT	1	0.02	InstantiationError
top.securityParam.half	REJECT	1	0.02	InstantiationError
top.securityParam.huge	REJECT	1	0.02	InstantiationError
top.securityParam.missing	REJECT	1	0.02	InstantiationError
top.securityParam.neg1	REJECT	1	0.02	InstantiationError
top.securityParam.negf	REJECT	1	0.02	InstantiationError
top.securityParam.null	REJECT	1	0.02	InstantiationError
top.securityParam.one	ACCEPT	124	3.02	not-rejected(3s)
top.securityParam.sci	ACCEPT	124	3.02	not-rejected(3s)
top.securityParam.str	REJECT	1	0.02	InstantiationError
top.securityParam.tiny	REJECT	1	0.02	InstantiationError
top.securityParam.zero	REJECT	1	0.02	InstantiationError
top.slotLength.big63	ACCEPT	124	3.02	not-rejected(3s)
top.slotLength.big64	ACCEPT	124	3.02	not-rejected(3s)
top.slotLength.bool	REJECT	1	0.02	InstantiationError
top.slotLength.emptystr	REJECT	1	0.02	InstantiationError
top.slotLength.float	ACCEPT	124	3.02	not-rejected(3s)
top.slotLength.half	ACCEPT	124	3.03	not-rejected(3s)
top.slotLength.huge	ACCEPT	124	3.02	not-rejected(3s)
top.slotLength.missing	REJECT	1	0.02	InstantiationError
top.slotLength.neg1	ACCEPT	124	3.02	not-rejected(3s)
top.slotLength.negf	ACCEPT	124	3.02	not-rejected(3s)
