[dwarf-cov] surface=keepalive seconds=28800 corpus=/opt/corpora/keepalive
[*] Spinning up the fork server...
[+] All right - new fork server model v1 is up.
[*] Target map size: 2072214
    To avoid having crashes misinterpreted as timeouts, please 
[+] Loaded a total of 4 seeds.
    len = 2, map size = 183, exec speed = 12789 us, hash = ab54d88dc6a919bb
    len = 5, map size = 183, exec speed = 12239 us, hash = 3c258ed9f4351ee2
    len = 5, map size = 210, exec speed = 12357 us, hash = 379f6e009a5a38dd
    len = 5, map size = 210, exec speed = 12391 us, hash = 379f6e009a5a38dd
[+] All set and ready to roll!
[*] Fuzzing test case #73 (173 total, 0 crashes saved, state: final phase, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=11980, hits=0, map=174, ascii=0, run_time=0:05:32:49, cvg=0.05%) FS (t=0:00:00:12 (0.06%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #39 (173 total, 0 crashes saved, state: final phase, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12146, hits=0, map=187, ascii=0, run_time=0:05:37:50, cvg=0.05%) FS (t=0:00:00:12 (0.06%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #25 (173 total, 0 crashes saved, state: final phase, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12109, hits=0, map=183, ascii=0, run_time=0:05:42:51, cvg=0.05%) FS (t=0:00:00:12 (0.06%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #75 (173 total, 0 crashes saved, state: final phase, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12238, hits=0, map=174, ascii=0, run_time=0:05:47:52, cvg=0.05%) FS (t=0:00:00:12 (0.06%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #165 (173 total, 0 crashes saved, state: final phase, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12000, hits=0, map=183, ascii=0, run_time=0:05:52:53, cvg=0.05%) FS (t=0:00:00:12 (0.06%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #11 (173 total, 0 crashes saved, state: final phase, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12122, hits=0, map=183, ascii=0, run_time=0:05:57:53, cvg=0.05%) FS (t=0:00:00:12 (0.06%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #21 (173 total, 0 crashes saved, state: final phase, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12335, hits=0, map=183, ascii=0, run_time=0:06:02:53, cvg=0.05%) FS (t=0:00:00:12 (0.06%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #114 (173 total, 0 crashes saved, state: final phase, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12226, hits=0, map=168, ascii=0, run_time=0:06:07:52, cvg=0.05%) FS (t=0:00:00:12 (0.05%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #111 (173 total, 0 crashes saved, state: final phase, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12236, hits=0, map=190, ascii=0, run_time=0:06:12:51, cvg=0.05%) FS (t=0:00:00:12 (0.05%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #146 (173 total, 0 crashes saved, state: final phase, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12024, hits=0, map=183, ascii=0, run_time=0:06:17:50, cvg=0.05%) FS (t=0:00:00:12 (0.05%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #44 (173 total, 0 crashes saved, state: final phase, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12140, hits=0, map=187, ascii=0, run_time=0:06:22:50, cvg=0.05%) FS (t=0:00:00:12 (0.05%), st=995, avg=70 ms, found=0/172)...
